wl,d0001,d0002,d0003,p0001,p0002,p0003,t0001,t0002,t0003,v0001,v0002,v0003
144.786,0,0,0,0,0,0,0,0,0,0,0,0
145.39,0,0,0,0,0,0,0,0,0,0,0,0
145.994,157.9373049,31.23284701,22.17064835,67.08780048,51.84981257,168.12454,22.5512236,80.69907167,28.02463183,80.27028261,96.66483131,26.60246718
146.598,0,0,0,0,0,0,0,0,0,0,0,0
147.202,-88.20797387,85.91581047,143.6831838,-182.4077687,-127.2646349,167.136024,164.2129449,117.4170893,237.4113091,47.55162498,54.6937183,6.66059739
147.806,-8.264056244,86.78068586,95.9900241,97.75262008,126.3262282,130.7587165,58.68345507,54.26404379,133.5416316,315.7811653,88.48848288,12.36868489
148.41,171.1002534,312.3156055,338.5849936,85.70518436,164.4304325,65.15700172,223.419794,79.29488591,8.614834004,34.73197513,82.78438555,89.64111885
149.014,0,0,0,0,0,0,0,0,0,0,0,0
149.618,0,0,0,0,0,0,0,0,0,0,0,0
150.222,0,0,0,0,0,0,0,0,0,0,0,0
150.825,0,0,0,0,0,0,0,0,0,0,0,0
151.429,0,0,0,0,0,0,0,0,0,0,0,0
152.033,7.894765336,40.15698866,24.02638229,65.39305274,69.60651054,74.05630311,31.1806705,-26.41730485,54.71633691,61.96598194,22.06409624,-2.608200398
152.637,0,0,0,0,0,0,0,0,0,0,0,0
153.24,0,0,0,0,0,0,0,0,0,0,0,0
153.844,77.04787634,115.0519313,25.66229887,-5.055094347,128.8856164,38.10662117,-18.59912575,52.28616912,38.24745529,1.327968224,-26.00982105,91.99817476
154.448,-57.41088869,66.96489375,-26.42041863,-165.065837,93.76332949,-103.8588736,-119.6026539,-16.06796968,34.00482002,17.34229918,-11.02040151,38.8505344
155.051,73.97551655,13.23733298,24.87923768,48.84167695,67.98172421,80.28270072,22.14330848,19.62842006,10.38671719,60.97577347,69.53387016,-20.40206274
155.655,20.36693361,64.32139563,21.16483863,-27.00416099,87.13348359,31.42564776,67.11369642,24.33940396,-0.070602949,14.45755846,66.50962859,37.55838497
156.259,-63.33307213,-51.01093403,-156.5811528,-72.48776348,-66.19759226,-20.69954074,46.69714408,-31.12079032,-24.60280298,101.109648,16.88553196,109.0490015
156.862,33.21861097,32.46791995,37.21357837,42.65820467,50.64727915,22.64771551,10.44170805,35.25749383,10.21021,55.71119147,38.48917496,43.30066597
157.466,-7.77309565,16.38346423,38.03320985,64.73333441,59.84224106,35.06805149,28.55589503,8.905180851,7.518622915,54.46297861,9.170319805,37.80017066
158.069,25.28342183,-16.28764537,26.9235964,54.89224484,79.76386439,72.44737457,34.27371134,51.11286506,30.51951524,39.30158221,58.61098683,49.90995782
158.673,389.2147738,-305.1561283,225.6396467,-11.60430499,45.87668314,19.32005433,-24.88882454,137.1660427,102.5185982,-166.0154715,135.3658621,187.8089644
159.276,-7.633760147,37.57735586,-4.875474329,-27.19933972,83.62664439,51.3871991,74.60152004,-28.47353295,30.71216715,28.3471549,-13.43399734,112.4264804
159.88,8.547349689,33.66833994,28.68329521,-15.89708068,45.82586274,14.44118519,35.40602392,17.98786261,39.32494655,35.44650066,33.21922413,45.39293762
160.483,13.33891626,11.25990529,98.77477423,57.46464776,6.295376986,31.15222022,-13.3919792,4.3969309,63.83798451,64.65605911,21.01242075,15.94805365
161.087,9.85915493,38.54061307,40.36424578,15.86382326,24.93465013,29.78758288,-21.93210024,15.7643423,7.684195409,71.89459456,36.90077976,70.44386137
